"level","character","readings_on","readings_kun","meaning"
"N4","住","{""じゅう"",""ぢゅう"",""ちゅう""}","{""す.む"",""す.まう"",""-ず.まい""}","Dwell; Reside; Live; Inhabit"
"N3","助","{""じょ""}","{""たす.ける"",""たす.かる"",""す.ける"",""すけ""}","Help; Rescue; Assist"
"N4","医","{""い""}","{""い.やす"",""い.する"",""くすし""}","Doctor; Medicine"
"N3","君","{""くん""}","{""きみ"",""-ぎみ""}","Mister; You; Ruler; Male Name Suffix"
"N3","対","{""たい"",""つい""}","{""あいて"",""こた.える"",""そろ.い"",""つれあ.い"",""なら.ぶ"",""むか.う""}","Vis-a-vis; Opposite; Even; Equal; Versus; Anti-; Compare"
"N3","局","{""きょく""}","{""つぼね""}","Bureau; Board; Office; Affair; Conclusion; Court Lady; Lady-in-waiting; Her Apartment"
"N3","役","{""やく"",""えき""}","{}","Duty; War; Campaign; Drafted Labor; Office; Service; Role"
"N3","投","{""とう""}","{""な.げる"",""-な.げ""}","Throw; Discard; Abandon; Launch Into; Join; Invest In; Hurl; Give Up; Sell At A Loss"
"N3","決","{""けつ""}","{""き.める"",""-ぎ.め"",""き.まる"",""さ.く""}","Decide; Fix; Agree Upon; Appoint"
"N4","究","{""きゅう"",""く""}","{""きわ.める""}","Research; Study"
"N4","者","{""しゃ""}","{""もの""}","Someone; Person"
"N4","研","{""けん""}","{""と.ぐ""}","Polish; Study Of; Sharpen"
"N3","馬","{""ば""}","{""うま"",""うま-"",""ま""}","Horse"
"N2","森","{""しん""}","{""もり""}","Forest; Woods"
"N4","場","{""じょう"",""ちょう""}","{""ば""}","Location; Place"
"N4","朝","{""ちょう""}","{""あさ""}","Morning; Dynasty; Regime; Epoch; Period; (north) Korea"
"N3","番","{""ばん""}","{""つが.い""}","Turn; Number In A Series"
"N4","答","{""とう""}","{""こた.える"",""こた.え""}","Solution; Answer"
"N3","絵","{""かい"",""え""}","{}","Picture; Drawing; Painting; Sketch"
"N4","買","{""ばい""}","{""か.う""}","Buy"
"N4","道","{""どう"",""とう""}","{""みち"",""いう""}","Road-way; Street; District; Journey; Course; Moral; Teachings"
"N5","間","{""かん"",""けん""}","{""あいだ"",""ま"",""あい""}","Interval; Space"
"N2","雲","{""うん""}","{""くも"",""-ぐも""}","Cloud"
"N3","数","{""すう"",""す"",""さく"",""そく"",""しゅ""}","{""かず"",""かぞ.える"",""しばしば"",""せ.める"",""わずらわ.しい""}","Number; Strength; Fate; Law; Figures"
"N4","楽","{""がく"",""らく"",""ごう""}","{""たの.しい"",""たの.しむ"",""この.む""}","Music; Comfort; Ease"
"N5","話","{""わ""}","{""はな.す"",""はなし""}","Tale; Talk"
"N5","電","{""でん""}","{}","Electricity"
"N3","所","{""しょ""}","{""ところ"",""-ところ"",""どころ"",""とこ""}","Place; Extent"
"N4","事","{""じ"",""ず""}","{""こと"",""つか.う"",""つか.える""}","Matter; Thing; Fact; Business; Reason; Possibly"
"N4","使","{""し""}","{""つか.う"",""つか.い"",""-つか.い"",""-づか.い""}","Use; Send On A Mission; Order; Messenger; Envoy; Ambassador; Cause"
"N3","具","{""ぐ""}","{""そな.える"",""つぶさ.に""}","Tool; Utensil; Means; Possess; Ingredients; Counter For Armor, Suits, Sets Of Furniture"
"N3","受","{""じゅ""}","{""う.ける"",""-う.け"",""う.かる""}","Accept; Undergo; Answer (phone); Take; Get; Catch; Receive"
